response_id,timestamp,nps_score,csat_score,open_text,channel,product_surface,respondent_type
R026,2024-01-17 13:30:00,8,4,"Pleasant experience. Staff were friendly and helpful throughout.",airport,flight,frequent_flyer
R027,2024-01-17 14:15:00,5,3,"The loyalty program rewards are not very competitive compared to others.",web,loyalty,occasional
R028,2024-01-17 15:00:00,10,5,"Outstanding experience from booking to landing. Exceeded all expectations!",airport,flight,frequent_flyer
R029,2024-01-17 16:30:00,2,1,"Seat was broken and reclined into my lap the entire flight. Horrible.",airport,flight,occasional
R030,2024-01-17 17:45:00,9,4,"Very satisfied with the overall journey. Minor delay but well communicated.",airport,flight,frequent_flyer
R031,2024-01-18 08:00:00,7,4,"Good service. The boarding was organized and efficient.",airport,check_in,new
R032,2024-01-18 09:30:00,3,2,"App keeps logging me out and losing my saved preferences. Very annoying.",mobile,booking,occasional
R033,2024-01-18 10:15:00,10,5,"Exceptional customer service. They truly care about passenger experience.",airport,support,frequent_flyer
R034,2024-01-18 11:00:00,6,3,"Decent flight. Food could be better but overall an okay experience.",airport,flight,new
R035,2024-01-18 12:30:00,8,5,"The lounge access was a great perk. Very comfortable and well stocked.",airport,loyalty,frequent_flyer
R036,2024-01-18 13:15:00,1,1,"Absolutely terrible. Flight cancelled with no rebooking assistance offered.",airport,flight,occasional
R037,2024-01-18 14:00:00,9,5,"Loved the new digital boarding pass feature. Very convenient.",mobile,check_in,frequent_flyer
R038,2024-01-18 15:30:00,4,2,"Website is slow and outdated. Hard to navigate and find basic information.",web,booking,new
R039,2024-01-18 16:45:00,8,4,"Good value for money. Comfortable seats and friendly crew.",airport,flight,occasional
R040,2024-01-18 17:30:00,7,3,"Satisfactory experience overall. Could improve the in-flight entertainment.",airport,flight,frequent_flyer
R041,2024-01-19 08:15:00,10,5,"Best airline experience I have had in years. Will be a loyal customer!",airport,flight,new
R042,2024-01-19 09:00:00,2,1,"Terrible communication about gate changes. Missed my connection as a result.",airport,flight,occasional
R043,2024-01-19 10:30:00,8,4,"Smooth and efficient process throughout. Very happy with the service.",airport,check_in,frequent_flyer
R044,2024-01-19 11:15:00,6,3,"Average experience. The check-in queue was very long but staff were polite.",airport,check_in,new
R045,2024-01-19 12:00:00,9,5,"The upgrade experience was seamless and the business class was excellent.",airport,flight,frequent_flyer
R046,2024-01-19 13:30:00,3,2,"In-flight wifi was extremely slow and kept disconnecting throughout the flight.",airport,flight,occasional
R047,2024-01-19 14:15:00,10,5,"Amazing loyalty rewards. Got a free flight upgrade as a surprise. Love it!",web,loyalty,frequent_flyer
R048,2024-01-19 15:00:00,7,4,"Good experience. The staff were helpful and the flight was on time.",airport,flight,new
R049,2024-01-19 16:30:00,5,3,"Okay overall. The baggage fees are a bit high compared to competitors.",web,booking,occasional
R050,2024-01-19 17:45:00,9,5,"Everything was perfect. Booking, boarding, flight, and baggage. 10 out of 10.",airport,flight,frequent_flyer
